ID,Đại lý,Tên viết tắt,Phân loại đại lý,Đại lý mẹ,Tỉnh/Thành phố,Quận huyện,Địa chỉ,Quản lý,Có hiệu lực/Vô hiệu lực
70,CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ NĂNG LƯỢNG SÀI GÒN,ĐL-075CÔNG TY TNHH THƯƠNG MẠI ĐẦU TƯ NĂNG LƯỢNG SÀI GÒN,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"60P Long Thuận, Khu phố Long Thuận - Phường Long Phước ",,Có hiệu lực
71,Cửa Hàng Bán Lẻ LPG Chai Thanh Ngân,ĐL-076Cửa Hàng Bán Lẻ LPG Chai Thanh Ngân,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"27/4 Ngô Y Linh, KP 5, Phường An Lạc",saleshcm,Có hiệu lực
72,Cửa Hàng Bán Lẻ LPG Chai Thiên Hương,ĐL-077Cửa Hàng Bán Lẻ LPG Chai Thiên Hương,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,C5/37 ấp 3 X.Tân Kiên - Xã Tân Kiên ,saleshcm,Có hiệu lực
73,Cửa Hàng Bán Lẻ LPG Chai Minh Tiến,ĐL-078Cửa Hàng Bán Lẻ LPG Chai Minh Tiến,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,"71 Lô Tư, KP10 - Phường Bình Hưng Hòa A",,Có hiệu lực
74,Cửa Hàng Bán Lẻ LPG Chai Tấn Lợi,ĐL-079Cửa Hàng Bán Lẻ LPG Chai Tấn Lợi,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Tân,45/10 Đình Nghi Xuân KP 10 P.Bình Trị Đông - Phường Bình Trị Đông ,,Có hiệu lực
75,Cửa Hàng Bán Lẻ LPG Chai Minh Huy,ĐL-080Cửa Hàng Bán Lẻ LPG Chai Minh Huy,Đại lý tổng,,Tỉnh Long An,Huyện Cần Giuộc,ấp Tân Xuân - Xã Tân Kim ,,Có hiệu lực
76,Cửa Hàng Bán Lẻ LPG Chai Phú Thịnh,ĐL-081Cửa Hàng Bán Lẻ LPG Chai Phú Thịnh,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 7,45 Lê Văn Lương - Phường Tân Kiểng ,,Có hiệu lực
77,HỘ KINH DOANH TÚ CHÂU 1,ĐL-082HỘ KINH DOANH TÚ CHÂU 1,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 8,93 Phạm Thế Hiển - Phường 2,,Có hiệu lực
78,Hộ Kinh Doanh  LPG Chai Hải Phương,ĐL-083Hộ Kinh Doanh  LPG Chai Hải Phương,Đại lý tổng,,Thành phố Hồ Chí Minh,Huyện Bình Chánh,B9/273/1 Ấp 2 - Xã Đa Phước,,Có hiệu lực
79,Cửa Hàng Bán Lẻ LPG Chai Gas Thắng,ĐL-084Cửa Hàng Bán Lẻ LPG Chai Gas Thắng,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,40 Đường 22 KP1 - Phường Cát Lái ,,Có hiệu lực
80,Cửa Hàng Bán Lẻ LPG Chai Gas Hải Vân,ĐL-085Cửa Hàng Bán Lẻ LPG Chai Gas Hải Vân,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Thạnh,"152/3B Điện Biên Phủ, Phường 25",,Có hiệu lực
81,Cửa Hàng Bán Lẻ LPG Chai Gas 826,ĐL-086Cửa Hàng Bán Lẻ LPG Chai Gas 826,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Bình Thạnh,"238 Bình Quới, Phường 28",saleshcm,Có hiệu lực
82,Cửa Hàng Bán Lẻ LPG Chai Minh Tâm,ĐL-087Cửa Hàng Bán Lẻ LPG Chai Minh Tâm,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận Phú Nhuận,"145 Phùng Văn Cung,P.04 - Phường 04",saleshcm,Có hiệu lực
83,CÔNG TY TNHH THƯƠNG MẠI GAS QUỲNH LAM,ĐL-088CÔNG TY TNHH THƯƠNG MẠI GAS QUỲNH LAM,Đại lý tổng,,Tỉnh Bình Dương,Thành phố Thuận An,"Số 31C1/3D, đường BH14, khu phố Bình Đáng, Phường Bình Hòa",salesbd,Có hiệu lực
84,CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NĂNG LƯỢNG XANH,ĐL-089CÔNG TY TNHH ĐẦU TƯ THƯƠNG MẠI DỊCH VỤ NĂNG LƯỢNG XANH,Đại lý tổng,,Thành phố Hồ Chí Minh,Thành phố Thủ Đức,"Số 09 Dương Đình Hội, Phường Phước Long B",,Có hiệu lực
85,CÔNG TY TNHH MỘT THÀNH VIÊN THẢO CẦM VIÊN SÀI GÒN ,ĐL-090CÔNG TY TNHH MỘT THÀNH VIÊN THẢO CẦM VIÊN SÀI GÒN ,Đại lý tổng,,Thành phố Hồ Chí Minh,Quận 1,số 2 Nguyễn Bỉnh Khiêm - Phường Bến Nghé ,,Có hiệu lực
